date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:12:13	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%224057-673fd3ff-761c7e0f577b2aa7;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:13	10260/10260	---MCZ	200	added ('OK')	text/css	etag:W/%222814-673fd3fe-2f28aae1bb7ea45;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min5422.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:13	974/974	---MCZ	200	added ('OK')	text/css	etag:W/%223ce-673fd400-48746d7429cfb8be;br%22	https://liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/css/conditionals/popup.min.css?ver=3.25.3	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/css/conditionals/popup.minb403.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:13	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22e7d0-673fd3fe-c6e2141418a6b92d;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min5422.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:13	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%22684e-673fd3fe-deeea39eaa8b2ba9;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min5422.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:14	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%22fe-673fd3fe-5418e721a0bb308d;;;%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-image.min5422.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:14	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%22258-673fd3fe-44ac455f7be6ac8f;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-heading.min5422.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:14	4296/4296	---MCZ	200	added ('OK')	text/css	etag:W/%2210c8-673fd3fe-4ec654e78de8059e;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-divider.min5422.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:14	540/540	---MCZ	200	added ('OK')	text/css	etag:W/%2221c-673fd3fe-38a157a05ffce44d;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-image-carousel.min5422.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:14	1868/1868	---MCZ	200	added ('OK')	text/css	etag:W/%2274c-673fd3fe-ba66f42151728ec0;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-video.min.css?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/css/widget-video.min5422.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:15	58071/58071	---MCZ	200	added ('OK')	text/css	etag:W/%22e2d7-673fd3fe-f1ae9a3d50ac1780;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:15	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%2229d-673fd3fe-5fdb4143449a7586;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:15	87553/87553	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2215601-654b0608-f870a272ae4e8b09;br%22	https://liftdetoxcaps.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:15	13577/13577	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%223509-64d30d70-5c3fe71551458c42;br%22	https://liftdetoxcaps.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:16	15073/15073	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%223ae1-673fd3fe-ad4e9938bb785b5b;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min5422.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:16	5449/5449	---M--	200	added ('OK')	image/png	etag:%221549-642ae2be-477f9f92a578381e;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2023/04/Logotipo-Lift-Detox-Black-1-150x150.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2023/04/Logotipo-Lift-Detox-Black-1-150x150.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:16	11407/11407	---M--	200	added ('OK')	image/png	etag:%222c8f-642ae2be-aee28ddbb2b0f6cb;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2023/04/Logotipo-Lift-Detox-Black-1-300x300.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2023/04/Logotipo-Lift-Detox-Black-1-300x300.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:16	244801/244801	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2005%20Dec%202024%2006:12:24%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/liftdetox/connect.facebook.net/en_US/fbevents.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:17	81781/81781	---M--	200	added ('OK')	image/png	etag:%2213f75-6710ffba-af6b5c49b620ee97;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Lift-Home-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Lift-Home-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:17	38554/38554	---M--	200	added ('OK')	image/png	etag:%22969a-67114ea3-3a80a520d42bfed7;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Design-sem-nome-2024-07-10T170917.954-3.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Design-sem-nome-2024-07-10T170917.954-3.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:17	34503/34503	---M--	200	added ('OK')	image/png	etag:%2286c7-67114ebb-691e3d9d32450d12;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Design-sem-nome-2024-07-10T170917.954-2.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Design-sem-nome-2024-07-10T170917.954-2.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:17	35222/35222	---M--	200	added ('OK')	image/png	etag:%228996-6710fd91-fa5d1b3d4b27ea61;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Intestino-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Intestino-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:17	34283/34283	---M--	200	added ('OK')	image/png	etag:%2285eb-6710fd93-d395e0035bc8adf6;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Apetite-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Apetite-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:18	24727/24727	---M--	200	added ('OK')	image/png	etag:%226097-6710fd95-1061228fb4965c6;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Estrias-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Estrias-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:18	27588/27588	---M--	200	added ('OK')	image/png	etag:%226bc4-6710fd97-9f877e055c9cc35b;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Efeito-Lift-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Efeito-Lift-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:18	91098/91098	---M--	200	added ('OK')	image/png	etag:%22163da-6710fdd2-a36bb4a27c119ca7;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Img-Mulher-Detox-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Img-Mulher-Detox-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:18	60051/60051	---M--	200	added ('OK')	image/png	etag:%22ea93-6710fe5f-7588103a1a64c509;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Quitosana-4-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Quitosana-4-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:18	49799/49799	---M--	200	added ('OK')	image/png	etag:%22c287-6710fe6a-ef03917afab25397;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Laranja-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Laranja-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:19	59890/59890	---M--	200	added ('OK')	image/png	etag:%22e9f2-6710fe63-7e28254fe47858d1;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Cromo-11-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Cromo-11-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:19	49959/49959	---M--	200	added ('OK')	image/png	etag:%22c327-6710fe66-55c382b1667e58c8;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Espirulina-2-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Espirulina-2-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:19	52579/52579	---M--	200	added ('OK')	image/png	etag:%22cd63-6710fe6e-32ef4a78b05b7fb0;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Pysillium-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Pysillium-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:19	114619/114619	---M--	200	added ('OK')	image/png	etag:%221bfbb-6717841d-1363d014ae2eb84f;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Colageno-6.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Colageno-6.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:19	16343/16343	---M--	200	added ('OK')	image/png	etag:%223fd7-67082b6f-a3a41b94ef6cd95c;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/DEP-10.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/DEP-10.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:20	16329/16329	---M--	200	added ('OK')	image/png	etag:%223fc9-67082b6e-93d60c230cfcbc4c;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/DEP-11.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/DEP-11.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:20	52765/52765	---M--	200	added ('OK')	image/png	etag:%22ce1d-67082b71-d805cc85b89edab4;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/DEP-9.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/DEP-9.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:20	92374/92374	---M--	200	added ('OK')	image/png	etag:%22168d6-67105739-e5b73e45d11cdca7;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/1-Lift-Novo-3.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/1-Lift-Novo-3.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:20	41555/41555	---M--	200	added ('OK')	image/png	etag:%22a253-671051f6-ba8a77a2ac9b9e10;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/3-Lift-Novo-2-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/3-Lift-Novo-2-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:21	45827/45827	---M--	200	added ('OK')	image/png	etag:%22b303-671051f9-9b5ec6a7cd0f3649;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/5-Lift-Novo-2-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/5-Lift-Novo-2-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:21	47628/47628	---M--	200	added ('OK')	image/png	etag:%22ba0c-671051fc-35398ef3b7c3afd0;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/10-Lift-Novo-2-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/10-Lift-Novo-2-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:21	1070061/1070061	---M--	200	added ('OK')	image/gif	etag:%221053ed-63791008-ba995bcf3560c868;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2022/05/Como-Comprar-Checkout_2.gif	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2022/05/Como-Comprar-Checkout_2.gif	(from https://liftdetoxcaps.com/liftpromo/)
03:12:21	68392/68392	---M--	200	added ('OK')	image/png	etag:%2210b28-6710fee8-32c093a203abadcf;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2024/10/Garantia-7D-Lift-1.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2024/10/Garantia-7D-Lift-1.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:21	3822/3822	---M--	200	added ('OK')	image/png	etag:%22eee-6379100d-c2e3a645570c70e0;;;%22	https://liftdetoxcaps.com/wp-content/uploads/2022/05/pagamento-icon.png	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/uploads/2022/05/pagamento-icon.png	(from https://liftdetoxcaps.com/liftpromo/)
03:12:22	20034/20034	---MCZ	200	added ('OK')	text/css	etag:W/%224e42-673fd401-14e9c7b88659294e;br%22	https://liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/css/widget-testimonial-carousel.min.css?ver=3.25.3	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/css/widget-testimonial-carousel.minb403.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:22	3846/3846	---MCZ	200	added ('OK')	text/css	etag:W/%22f06-673fd400-b217245559c7446;br%22	https://liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/css/widget-carousel-module-base.min.css?ver=3.25.3	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/css/widget-carousel-module-base.minb403.css	(from https://liftdetoxcaps.com/liftpromo/)
03:12:22	4776/4776	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2212a8-6734f540-2e811acc6d6cd4da;br%22	https://liftdetoxcaps.com/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-includes/js/dist/hooks.min4fdd.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:22	9141/9141	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2223b5-660cd24d-1b467afb528a0133;br%22	https://liftdetoxcaps.com/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-includes/js/dist/i18n.minc33c.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:22	506/506	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221fa-673573c0-4eef40987e2eac42;br%22	https://liftdetoxcaps.com/wp-content/plugins/presto-player/src/player/player-static.js?ver=1731556288	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/presto-player/src/player/player-static4408.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:23	2749/2749	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22abd-66cde357-d6fb433524a67bab;br%22	https://liftdetoxcaps.com/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=3.1.1	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/themes/hello-elementor/assets/js/hello-frontend.minb12b.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:23	5520/5520	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221590-654b0608-57d5f53d7b18e94a;br%22	https://liftdetoxcaps.com/wp-includes/js/imagesloaded.min.js?ver=5.0.0	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-includes/js/imagesloaded.minbb93.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:23	6262/6262	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221876-673fd401-93ff90f2444e1b9c;br%22	https://liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.min.js?ver=3.25.3	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.minb403.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:23	5252/5252	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221484-673fd3fe-b4ae2933b7befc1;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min5422.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:24	54824/54824	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22d628-673fd3fe-e153e16375af76bd;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/js/frontend-modules.min5422.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:24	24913/24913	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226151-673fd401-2860f0a4cc3cd114;br%22	https://liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/js/frontend.min.js?ver=3.25.3	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/js/frontend.minb403.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:24	21464/21464	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2253d8-66973fd3-fbb660a0a36b5ee4;br%22	https://liftdetoxcaps.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-includes/js/jquery/ui/core.minb37e.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:24	44112/44112	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22ac50-673fd3fe-115b4b96b38c6f16;br%22	https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.25.9	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/elementor/assets/js/frontend.min5422.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:24	42907/42907	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22a79b-673fd401-f0a641653beeb99f;br%22	https://liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/js/elements-handlers.min.js?ver=3.25.3	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/wp-content/plugins/pro-elements/assets/js/elements-handlers.minb403.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:25	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%226740aa56-302c%22	https://liftdetoxcaps.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://liftdetoxcaps.com/liftpromo/)
03:12:25	29713/29713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2006:12:33%20GMT	https://liftdetoxcaps.com/liftpromo/Trident/	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/liftpromo/Trident/index.html	(from https://liftdetoxcaps.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.25.9)
03:12:25	29713/29713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2006:12:33%20GMT	https://liftdetoxcaps.com/liftpromo/a	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/liftpromo/a.41.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
03:12:26	29713/29713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2006:12:33%20GMT	https://liftdetoxcaps.com/liftpromo/POST	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/liftpromo/POST	(from https://connect.facebook.net/en_US/fbevents.js)
03:12:26	29713/29713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2006:12:34%20GMT	https://liftdetoxcaps.com/liftpromo/b.resolvedLink	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/liftpromo/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
03:12:26	29713/29713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2006:12:34%20GMT	https://liftdetoxcaps.com/liftpromo/schema.org/	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/liftpromo/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
03:12:26	29713/29713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2006:12:34%20GMT	https://liftdetoxcaps.com/signals/iwl.js	C:/Meus%20Sites/liftdetox/liftdetoxcaps.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
